scenario,var,id,val,pos
0.5,SLCL,MVPI105071,93,ld4
0.5,SLSI,MVPI105072,24,ld4
0.5,SLCF,MVPI105073,0,ld4
0.5,SLNI,MVPI105074,0.135,ld4
0.5,SLHW,MVPI105075,8.25,ld4
0.5,SCEC,MVPI105077,13.5,ld4
0.75,SALB,MVPI107502,0.245,pd
0.75,SLU1,MVPI107503,15.925,pd
0.75,SLDR,MVPI107504,0.35,pd
0.75,SLRO,MVPI107505,99.9,pd
0.75,SLNF,MVPI107506,1,pd
0.75,SLPF,MVPI107507,1,pd
0.75,SLB,MVPI107511,35,ld1
0.75,SLLL,MVPI107513,0.348,ld1
0.75,SDUL,MVPI107514,0.529,ld1
0.75,SSAT,MVPI107515,0.9275,ld1
0.75,SRGF,MVPI107516,1,ld1
0.75,SSKS,MVPI107517,0.6825,ld1
0.75,SBDM,MVPI107518,2.1525,ld1
0.75,SLOC,MVPI107519,2.5725,ld1
0.75,SLCL,MVPI107520,100,ld1
0.75,SLSI,MVPI107521,26.25,ld1
0.75,SLCF,MVPI107522,0,ld1
0.75,SLNI,MVPI107523,0.21,ld1
0.75,SLHW,MVPI107524,8.75,ld1
0.75,SCEC,MVPI107526,18.9,ld1
0.75,SLB,MVPI107528,70,ld2
0.75,SLLL,MVPI107530,0.344,ld2
0.75,SDUL,MVPI107531,0.529,ld2
0.75,SSAT,MVPI107532,0.9275,ld2
0.75,SRGF,MVPI107533,1,ld2
0.75,SSKS,MVPI107534,1.1025,ld2
0.75,SBDM,MVPI107535,1.9775,ld2
0.75,SLOC,MVPI107536,1.9425,ld2
0.75,SLCL,MVPI107537,100,ld2
0.75,SLSI,MVPI107538,29.75,ld2
0.75,SLCF,MVPI107539,0,ld2
0.75,SLNI,MVPI107540,0.175,ld2
0.75,SLHW,MVPI107541,9.625,ld2
0.75,SCEC,MVPI107543,16.1,ld2
0.75,SLB,MVPI107545,210,ld3
0.75,SLLL,MVPI107547,0.31,ld3
0.75,SDUL,MVPI107548,0.529,ld3
0.75,SSAT,MVPI107549,0.9275,ld3
0.75,SRGF,MVPI107550,1,ld3
0.75,SSKS,MVPI107551,2.1175,ld3
0.75,SBDM,MVPI107552,1.89,ld3
0.75,SLOC,MVPI107553,1.575,ld3
0.75,SLCL,MVPI107554,100,ld3
0.75,SLSI,MVPI107555,28,ld3
0.75,SLCF,MVPI107556,0,ld3
0.75,SLNI,MVPI107557,0.1575,ld3
0.75,SLHW,MVPI107558,9.625,ld3
0.75,SCEC,MVPI107560,15.75,ld3
0.75,SLB,MVPI107562,262.5,ld4
0.75,SLLL,MVPI107564,0.31,ld4
0.75,SDUL,MVPI107565,0.529,ld4
0.75,SSAT,MVPI107566,0.9275,ld4
0.75,SRGF,MVPI107567,0.175,ld4
0.75,SSKS,MVPI107568,2.1175,ld4
0.75,SBDM,MVPI107569,1.89,ld4
0.75,SLOC,MVPI107570,1.575,ld4
0.75,SLCL,MVPI107571,100,ld4
0.75,SLSI,MVPI107572,28,ld4
0.75,SLCF,MVPI107573,0,ld4
0.75,SLNI,MVPI107574,0.1575,ld4
0.75,SLHW,MVPI107575,9.625,ld4
0.75,SCEC,MVPI107577,15.75,ld4
1,SALB,MVPI110002,0.28,pd
1,SLU1,MVPI110003,18.2,pd
1,SLDR,MVPI110004,0.4,pd
1,SLRO,MVPI110005,99.9,pd
1,SLNF,MVPI110006,1,pd
1,SLPF,MVPI110007,1,pd
1,SLB,MVPI110011,40,ld1
1,SLLL,MVPI110013,0.348,ld1
1,SDUL,MVPI110014,0.529,ld1
1,SSAT,MVPI110015,1.06,ld1
1,SRGF,MVPI110016,1,ld1
1,SSKS,MVPI110017,0.78,ld1
1,SBDM,MVPI110018,2.46,ld1
1,SLOC,MVPI110019,2.94,ld1
1,SLCL,MVPI110020,100,ld1
1,SLSI,MVPI110021,30,ld1
1,SLCF,MVPI110022,0,ld1
1,SLNI,MVPI110023,0.24,ld1
1,SLHW,MVPI110024,10,ld1
1,SCEC,MVPI110026,21.6,ld1
1,SLB,MVPI110028,80,ld2
1,SLLL,MVPI110030,0.344,ld2
1,SDUL,MVPI110031,0.529,ld2
1,SSAT,MVPI110032,1.06,ld2
1,SRGF,MVPI110033,1,ld2
1,SSKS,MVPI110034,1.26,ld2
1,SBDM,MVPI110035,2.26,ld2
1,SLOC,MVPI110036,2.22,ld2
1,SLCL,MVPI110037,100,ld2
1,SLSI,MVPI110038,34,ld2
1,SLCF,MVPI110039,0,ld2
1,SLNI,MVPI110040,0.2,ld2
1,SLHW,MVPI110041,11,ld2
1,SCEC,MVPI110043,18.4,ld2
1,SLB,MVPI110045,240,ld3
1,SLLL,MVPI110047,0.31,ld3
1,SDUL,MVPI110048,0.529,ld3
1,SSAT,MVPI110049,1.06,ld3
1,SRGF,MVPI110050,1,ld3
1,SSKS,MVPI110051,2.42,ld3
1,SBDM,MVPI110052,2.16,ld3
1,SLOC,MVPI110053,1.8,ld3
1,SLCL,MVPI110054,100,ld3
1,SLSI,MVPI110055,32,ld3
1,SLCF,MVPI110056,0,ld3
1,SLNI,MVPI110057,0.18,ld3
1,SLHW,MVPI110058,11,ld3
1,SCEC,MVPI110060,18,ld3
1,SLB,MVPI110062,300,ld4
1,SLLL,MVPI110064,0.31,ld4
1,SDUL,MVPI110065,0.529,ld4
1,SSAT,MVPI110066,1.06,ld4
1,SRGF,MVPI110067,0.2,ld4
1,SSKS,MVPI110068,2.42,ld4
1,SBDM,MVPI110069,2.16,ld4
1,SLOC,MVPI110070,1.8,ld4
1,SLCL,MVPI110071,100,ld4
1,SLSI,MVPI110072,32,ld4
1,SLCF,MVPI110073,0,ld4
1,SLNI,MVPI110074,0.18,ld4
1,SLHW,MVPI110075,11,ld4
1,SCEC,MVPI110077,18,ld4
-0.25,SALB,MVPI002502,0.105,pd
-0.25,SLU1,MVPI002503,6.825,pd
-0.25,SLDR,MVPI002504,0.15,pd
-0.25,SLRO,MVPI002505,62.25,pd
-0.25,SLNF,MVPI002506,0.75,pd
-0.25,SLPF,MVPI002507,0.75,pd
-0.25,SLB,MVPI002511,15,ld1
-0.25,SLLL,MVPI002513,0.21,ld1
-0.25,SDUL,MVPI002514,0.26175,ld1
-0.25,SSAT,MVPI002515,0.3975,ld1
-0.25,SRGF,MVPI002516,0.75,ld1
-0.25,SSKS,MVPI002517,0.2925,ld1
-0.25,SBDM,MVPI002518,0.9225,ld1
-0.25,SLOC,MVPI002519,1.1025,ld1
-0.25,SLCL,MVPI002520,48.75,ld1
-0.25,SLSI,MVPI002521,11.25,ld1
-0.25,SLCF,MVPI002522,0,ld1
-0.25,SLNI,MVPI002523,0.09,ld1
-0.25,SLHW,MVPI002524,3.75,ld1
-0.25,SCEC,MVPI002526,8.1,ld1
-0.25,SLB,MVPI002528,30,ld2
-0.25,SLLL,MVPI002530,0.213,ld2
-0.25,SDUL,MVPI002531,0.25875,ld2
-0.25,SSAT,MVPI002532,0.3975,ld2
-0.25,SRGF,MVPI002533,0.75,ld2
-0.25,SSKS,MVPI002534,0.4725,ld2
-0.25,SBDM,MVPI002535,0.8475,ld2
-0.25,SLOC,MVPI002536,0.8325,ld2
-0.25,SLCL,MVPI002537,48.75,ld2
-0.25,SLSI,MVPI002538,12.75,ld2
-0.25,SLCF,MVPI002539,0,ld2
-0.25,SLNI,MVPI002540,0.075,ld2
-0.25,SLHW,MVPI002541,4.125,ld2
-0.25,SCEC,MVPI002543,6.9,ld2
-0.25,SLB,MVPI002545,90,ld3
-0.25,SLLL,MVPI002547,0.21,ld3
-0.25,SDUL,MVPI002548,0.23325,ld3
-0.25,SSAT,MVPI002549,0.3975,ld3
-0.25,SRGF,MVPI002550,0.675,ld3
-0.25,SSKS,MVPI002551,0.9075,ld3
-0.25,SBDM,MVPI002552,0.81,ld3
-0.25,SLOC,MVPI002553,0.675,ld3
-0.25,SLCL,MVPI002554,46.5,ld3
-0.25,SLSI,MVPI002555,12,ld3
-0.25,SLCF,MVPI002556,0,ld3
-0.25,SLNI,MVPI002557,0.0675,ld3
-0.25,SLHW,MVPI002558,4.125,ld3
